# time [s],current [A],voltage [V],temperature [K],c_p_avg [mol/m^3],c_n_avg [mol/m^3]
3217,-15,3.74529664635417,297.044013108397,39847.7519316553,10623.9242236203
3217.5,-15,3.74526962036693,297.043844959503,39849.3987680694,10622.0931639861
3218,-15,3.74524259437969,297.043676810609,39851.0456044834,10620.2621043519
3218.5,-15,3.74521556839245,297.043508661715,39852.6924408975,10618.4310447176
3219,-15,3.74518854240521,297.043340512821,39854.3392773116,10616.5999850834
3219.5,-15,3.74516151641797,297.043172363927,39855.9861137257,10614.7689254492
3220,-15,3.74513449043073,297.043004215033,39857.6329501397,10612.937865815
3220.5,-15,3.7451074644435,297.042836066139,39859.2797865538,10611.1068061807
3221,-15,3.74508043845626,297.042667917245,39860.9266229679,10609.2757465465
3221.5,-15,3.74505341246902,297.042499768351,39862.573459382,10607.4446869123
3222,-15,3.74502638648178,297.042331619458,39864.220295796,10605.6136272781
3222.5,-15,3.74499936049454,297.042163470564,39865.8671322101,10603.7825676439
3223,-15,3.7449723345073,297.04199532167,39867.5139686242,10601.9515080096
3223.5,-15,3.74494530852006,297.041827172776,39869.1608050382,10600.1204483754
3224,-15,3.74491828253282,297.041659023882,39870.8076414523,10598.2893887412
3224.5,-15,3.74489125654558,297.041490874988,39872.4544778664,10596.458329107
3225,-15,3.74486423055834,297.041322726094,39874.1013142805,10594.6272694727
3225.5,-15,3.7448372045711,297.0411545772,39875.7481506945,10592.7962098385
3226,-15,3.74481017858387,297.040986428306,39877.3949871086,10590.9651502043
3226.5,-15,3.74478315259663,297.040818279412,39879.0418235227,10589.1340905701
3227,-15,3.74475612660939,297.040650130518,39880.6886599368,10587.3030309359
3227.5,-15,3.74472910062215,297.040481981624,39882.3354963508,10585.4719713016
3228,-15,3.74470207463491,297.04031383273,39883.9823327649,10583.6409116674
3228.5,-15,3.74467504864767,297.040145683836,39885.629169179,10581.8098520332
3229,-15,3.74464802266043,297.039977534942,39887.2760055931,10579.978792399
3229.5,-15,3.74462099667319,297.039809386048,39888.9228420071,10578.1477327647
3230,-15,3.74459397068595,297.039641237154,39890.5696784212,10576.3166731305
3230.5,-15,3.74456694469871,297.03947308826,39892.2165148353,10574.4856134963
3231,-15,3.74453994962275,297.039300957704,39893.8633512494,10572.6545538621
3231.5,-15,3.74451297334643,297.039126405581,39895.5101876634,10570.8234942279
3232,-15,3.7444859970701,297.038951853457,39897.1570240775,10568.9924345936
3232.5,-15,3.74445902079377,297.038777301334,39898.8038604916,10567.1613749594
3233,-15,3.74443204451744,297.03860274921,39900.4506969057,10565.3303153252
3233.5,-15,3.74440506824112,297.038428197086,39902.0975333197,10563.499255691
3234,-15,3.74437809196479,297.038253644963,39903.7443697338,10561.6681960567
3234.5,-15,3.74435111568846,297.038079092839,39905.3912061479,10559.8371364225
3235,-15,3.74432413941213,297.037904540716,39907.038042562,10558.0060767883
3235.5,-15,3.74429716313581,297.037729988592,39908.684878976,10556.1750171541
3236,-15,3.74427018685948,297.037555436468,39910.3317153901,10554.3439575199
3236.5,-15,3.74424321058315,297.037380884345,39911.9785518042,10552.5128978856
3237,-15,3.74421623430682,297.037206332221,39913.6253882182,10550.6818382514
3237.5,-15,3.74418925803049,297.037031780098,39915.2722246323,10548.8507786172
3238,-15,3.74416228175417,297.036857227974,39916.9190610464,10547.019718983
3238.5,-15,3.74413530547784,297.03668267585,39918.5658974605,10545.1886593487
3239,-15,3.74410832920151,297.036508123727,39920.2127338745,10543.3575997145
3239.5,-15,3.74408135292518,297.036333571603,39921.8595702886,10541.5265400803
3240,-15,3.74405437664886,297.03615901948,39923.5064067027,10539.6954804461
3240.5,-15,3.74402740037253,297.035984467356,39925.1532431168,10537.8644208119
3241,-15,3.7440004240962,297.035809915232,39926.8000795308,10536.0333611776
3241.5,-15,3.74397344781987,297.035635363109,39928.4469159449,10534.2023015434
3242,-15,3.74394647154355,297.035460810985,39930.093752359,10532.3712419092
3242.5,-15,3.74391949526722,297.035286258862,39931.7405887731,10530.540182275
3243,-15,3.74389251899089,297.035111706738,39933.3874251871,10528.7091226407
3243.5,-15,3.74386554271456,297.034937154615,39935.0342616012,10526.8780630065
3244,-15,3.74383856643824,297.034762602491,39936.6810980153,10525.0470033723
3244.5,-15,3.74381159016191,297.034588050367,39938.3279344294,10523.2159437381
3245,-15,3.74378461388558,297.034413498244,39939.9747708434,10521.3848841039
3245.5,-15,3.74375763760925,297.03423894612,39941.6216072575,10519.5538244696
3246,-15,3.74373066133293,297.034064393997,39943.2684436716,10517.7227648354
3246.5,-15,3.7437036850566,297.033889841873,39944.9152800857,10515.8917052012
3247,-15,3.74367670878027,297.033715289749,39946.5621164997,10514.060645567
3247.5,-15,3.74364973250394,297.033540737626,39948.2089529138,10512.2295859327
3248,-15,3.74362275622761,297.033366185502,39949.8557893279,10510.3985262985
3248.5,-15,3.74359577995129,297.033191633379,39951.5026257419,10508.5674666643
3249,-15,3.74356880367496,297.033017081255,39953.149462156,10506.7364070301
3249.5,-15,3.74354182739863,297.032842529131,39954.7962985701,10504.9053473959
3250,-15,3.7435148511223,297.032667977008,39956.4431349842,10503.0742877616
3250.5,-15,3.74348787484598,297.032493424884,39958.0899713982,10501.2432281274
3251,-15,3.74346089856965,297.032318872761,39959.7368078123,10499.4121684932
3251.5,-15,3.74343392229332,297.032144320637,39961.3836442264,10497.581108859
3252,-15,3.74340694601699,297.031969768513,39963.0304806405,10495.7500492248
3252.5,-15,3.74337996974067,297.03179521639,39964.6773170545,10493.9189895905
3253,-15,3.74335299346434,297.031620664266,39966.3241534686,10492.0879299563
3253.5,-15,3.74332601718801,297.031446112143,39967.9709898827,10490.2568703221
3254,-15,3.74329904091168,297.031271560019,39969.6178262968,10488.4258106879
3254.5,-15,3.74327206463536,297.031097007895,39971.2646627108,10486.5947510536
3255,-15,3.74324508835903,297.030922455772,39972.9114991249,10484.7636914194
3255.5,-15,3.7432181120827,297.030747903648,39974.558335539,10482.9326317852
3256,-15,3.74319113580637,297.030573351525,39976.2051719531,10481.101572151
3256.5,-15,3.74316415953005,297.030398799401,39977.8520083671,10479.2705125168
3257,-15,3.74313718325372,297.030224247277,39979.4988447812,10477.4394528825
3257.5,-15,3.74311020697739,297.030049695154,39981.1456811953,10475.6083932483
3258,-15,3.74308323070106,297.02987514303,39982.7925176093,10473.7773336141
3258.5,-15,3.74305625442473,297.029700590907,39984.4393540234,10471.9462739799
3259,-15,3.74302927814841,297.029526038783,39986.0861904375,10470.1152143456
3259.5,-15,3.74300230187208,297.02935148666,39987.7330268516,10468.2841547114
3260,-15,3.74297532559575,297.029176934536,39989.3798632656,10466.4530950772
3260.5,-15,3.74294834931942,297.029002382412,39991.0266996797,10464.622035443
3261,-15,3.7429213730431,297.028827830289,39992.6735360938,10462.7909758088
3261.5,-15,3.74289439676677,297.028653278165,39994.3203725079,10460.9599161745
3262,-15,3.74286742049044,297.028478726042,39995.9672089219,10459.1288565403
3262.5,-15,3.74284044421411,297.028304173918,39997.614045336,10457.2977969061
3263,-15,3.74281346793779,297.028129621794,39999.2608817501,10455.4667372719
3263.5,-15,3.74278649166146,297.027955069671,40000.9077181642,10453.6356776376
3264,-15,3.74275951538513,297.027780517547,40002.5545545782,10451.8046180034
3264.5,-15,3.7427325391088,297.027605965424,40004.2013909923,10449.9735583692
3265,-15,3.74270556283248,297.0274314133,40005.8482274064,10448.142498735
3265.5,-15,3.74267858655615,297.027256861176,40007.4950638205,10446.3114391008
3266,-15,3.74265161027982,297.027082309053,40009.1419002345,10444.4803794665
3266.5,-15,3.74262463400349,297.026907756929,40010.7887366486,10442.6493198323
3267,-15,3.74259765772717,297.026733204806,40012.4355730627,10440.8182601981
3267.5,-15,3.74257068145084,297.026558652682,40014.0824094767,10438.9872005639
3268,-15,3.74254370517451,297.026384100559,40015.7292458908,10437.1561409296
3268.5,-15,3.74251672889818,297.026209548435,40017.3760823049,10435.3250812954
3269,-15,3.74248975262185,297.026034996311,40019.022918719,10433.4940216612
3269.5,-15,3.74246277634553,297.025860444188,40020.669755133,10431.662962027
3270,-15,3.7424358000692,297.025685892064,40022.3165915471,10429.8319023928
3270.5,-15,3.74240882379287,297.025511339941,40023.9634279612,10428.0008427585
3271,-15,3.74238184751654,297.025336787817,40025.6102643753,10426.1697831243
3271.5,-15,3.74235487124022,297.025162235693,40027.2571007893,10424.3387234901
3272,-15,3.74232789496389,297.02498768357,40028.9039372034,10422.5076638559
3272.5,-15,3.74230091868756,297.024813131446,40030.5507736175,10420.6766042217
3273,-15,3.74227394241123,297.024638579323,40032.1976100316,10418.8455445874
3273.5,-15,3.74224696613491,297.024464027199,40033.8444464456,10417.0144849532
3274,-15,3.74221998985858,297.024289475075,40035.4912828597,10415.183425319
3274.5,-15,3.74219301358225,297.024114922952,40037.1381192738,10413.3523656848
3275,-15,3.74216603730592,297.023940370828,40038.7849556879,10411.5213060505
3275.5,-15,3.7421390610296,297.023765818705,40040.4317921019,10409.6902464163
3276,-15,3.74211208475327,297.023591266581,40042.078628516,10407.8591867821
3276.5,-15,3.74208510847694,297.023416714457,40043.7254649301,10406.0281271479
3277,-15,3.74205813220061,297.023242162334,40045.3723013441,10404.1970675137
3277.5,-15,3.74203115592429,297.02306761021,40047.0191377582,10402.3660078794
3278,-15,3.74200417964796,297.022893058087,40048.6659741723,10400.5349482452
3278.5,-15,3.74197720337163,297.022718505963,40050.3128105864,10398.703888611
3279,-15,3.7419502270953,297.022543953839,40051.9596470004,10396.8728289768
3279.5,-15,3.74192325081897,297.022369401716,40053.6064834145,10395.0417693425
3280,-15,3.74189627454265,297.022194849592,40055.2533198286,10393.2107097083
3280.5,-15,3.74186929826632,297.022020297469,40056.9001562427,10391.3796500741
3281,-15,3.74184232198999,297.021845745345,40058.5469926567,10389.5485904399
3281.5,-15,3.74181534571366,297.021671193221,40060.1938290708,10387.7175308057
3282,-15,3.74178836943734,297.021496641098,40061.8406654849,10385.8864711714
3282.5,-15,3.74176139316101,297.021322088974,40063.487501899,10384.0554115372
3283,-15,3.74173441688468,297.021147536851,40065.134338313,10382.224351903
3283.5,-15,3.74170744060835,297.020972984727,40066.7811747271,10380.3932922688
3284,-15,3.74168046433203,297.020798432604,40068.4280111412,10378.5622326345
3284.5,-15,3.7416534880557,297.02062388048,40070.0748475553,10376.7311730003
3285,-15,3.74162651177937,297.020449328356,40071.7216839693,10374.9001133661
3285.5,-15,3.74159953550304,297.020274776233,40073.3685203834,10373.0690537319
3286,-15,3.74157255922672,297.020100224109,40075.0153567975,10371.2379940977
3286.5,-15,3.74154558295039,297.019925671986,40076.6621932116,10369.4069344634
3287,-15,3.74151860667406,297.019751119862,40078.3090296256,10367.5758748292
3287.5,-15,3.74149163039773,297.019576567738,40079.9558660397,10365.744815195
3288,-15,3.74146465412141,297.019402015615,40081.6027024538,10363.9137555608
3288.5,-15,3.74143767784508,297.019227463491,40083.2495388679,10362.0826959265
3289,-15,3.74141070156875,297.019052911368,40084.8963752819,10360.2516362923
3289.5,-15,3.74138372529242,297.018878359244,40086.543211696,10358.4205766581
3290,-15,3.7413567490161,297.01870380712,40088.1900481101,10356.5895170239
3290.5,-15,3.74132977273977,297.018529254997,40089.8368845241,10354.7584573897
3291,-15,3.74130282417845,297.018346958811,40091.4837209382,10352.9273977554
3291.5,-15,3.74127588032631,297.018163346796,40093.1305573523,10351.0963381212
3292,-15,3.74124893647418,297.017979734781,40094.7773937664,10349.265278487
3292.5,-15,3.74122199262204,297.017796122766,40096.4242301804,10347.4342188528
3293,-15,3.7411950487699,297.017612510751,40098.0710665945,10345.6031592186
3293.5,-15,3.74116810491777,297.017428898736,40099.7179030086,10343.7720995843
3294,-15,3.74114116106563,297.017245286721,40101.3647394227,10341.9410399501
3294.5,-15,3.7411142172135,297.017061674706,40103.0115758367,10340.1099803159
3295,-15,3.74108727336136,297.016878062691,40104.6584122508,10338.2789206817
3295.5,-15,3.74106032950922,297.016694450676,40106.3052486649,10336.4478610474
3296,-15,3.74103338565709,297.016510838662,40107.952085079,10334.6168014132
3296.5,-15,3.74100644180495,297.016327226647,40109.598921493,10332.785741779
3297,-15,3.74097949795281,297.016143614632,40111.2457579071,10330.9546821448
3297.5,-15,3.74095255410068,297.015960002617,40112.8925943212,10329.1236225106
3298,-15,3.74092561024854,297.015776390602,40114.5394307353,10327.2925628763
3298.5,-15,3.74089866639641,297.015592778587,40116.1862671493,10325.4615032421
3299,-15,3.74087172254427,297.015409166572,40117.8331035634,10323.6304436079
3299.5,-15,3.74084477869213,297.015225554557,40119.4799399775,10321.7993839737
3300,-15,3.74081783484,297.015041942542,40121.1267763915,10319.9683243394
3300.5,-15,3.74079089098786,297.014858330528,40122.7736128056,10318.1372647052
3301,-15,3.74076394713572,297.014674718513,40124.4204492197,10316.306205071
3301.5,-15,3.74073700328359,297.014491106498,40126.0672856338,10314.4751454368
3302,-15,3.74071005943145,297.014307494483,40127.7141220478,10312.6440858026
